slug	document_id	filing_date	allotment_date	resulting_nominal_capital_gbp	source_url
2026-01-27-allotment-2026-01-13	MzUwMTY1NjkwOWFkaXF6a2N4	2026-01-27	2026-01-13	3.658437	https://find-and-update.company-information.service.gov.uk/company/15173006/filing-history/MzUwMTY1NjkwOWFkaXF6a2N4/document?download=1&format=pdf
2026-04-14-allotment-2026-03-06	MzUxNjAzMDU2NmFkaXF6a2N4	2026-04-14	2026-03-06	3.661921	https://find-and-update.company-information.service.gov.uk/company/15173006/filing-history/MzUxNjAzMDU2NmFkaXF6a2N4/document?download=1&format=pdf
2026-04-14-allotment-2026-04-02	MzUxNjAzMTgxNGFkaXF6a2N4	2026-04-14	2026-04-02	3.667047	https://find-and-update.company-information.service.gov.uk/company/15173006/filing-history/MzUxNjAzMTgxNGFkaXF6a2N4/document?download=1&format=pdf
2026-07-15-allotment-2026-07-09	MzUzMjkwODI2OWFkaXF6a2N4	2026-07-15	2026-07-09	3.672047	https://find-and-update.company-information.service.gov.uk/company/15173006/filing-history/MzUzMjkwODI2OWFkaXF6a2N4/document?download=1&format=pdf
